ORDEN;FECHA COMPRA;CANTIDAD;CODIGO;DETALLE;COMPRA;DIVIDIDO
220;01/01/2025;0;779819415914;"779819415914 - GLOBO PARTY TIME LISO 12"" MULTICOLOR FLUO x25 59149";2762,32;25
221;23/10/2025;1;779819415454;"77981941545404 - GLOBO OVNI METALIZADO 14"" PLATEADO Nº 9 x5 (NO APTO HELIO) 54540";2819,26;5
222;23/10/2025;1;779819415453;"77981941545336 - GLOBO OVNI METALIZADO 14"" PLATEADO Nº 8 x5 (NO APTO HELIO) 54533";2819,26;5
223;23/10/2025;1;779819415452;"77981941545268 - GLOBO OVNI METALIZADO 14"" PLATEADO Nº 7 x5 (NO APTO HELIO) 54526";2819,26;5
224;23/10/2025;1;779819415447;"77981941544728 - GLOBO OVNI METALIZADO 14"" PLATEADO Nº 2 x5 (NO APTO HELIO) 54472";2819,26;5
225;23/10/2025;2;779819415446;"77981941544650 - GLOBO OVNI METALIZADO 14"" PLATEADO Nº 1 x5 (NO APTO HELIO) 54465";2819,26;5
226;01/01/2025;0;779819415445;"77981941544582 - GLOBO OVNI METALIZADO 14"" PLATEADO Nº 0 x5 (NO APTO HELIO) 54458";2819,26;5
227;01/01/2025;0;779819415381;"77981941538192 - GLOBO OVNI METALIZADO 14"" DORADO Nº 0 x5 (NO APTO HELIO) 53819";2819,26;5
228;01/01/2025;0;779819415909;"779819415909 - GLOBO MARCO SELFIE PLATA 34"" 86cm OVNI  x1 59095";1409,58;1
229;01/01/2025;0;779819415013;"779819415013 - GLOBO GLOBOX PERLADO 12"" VIOLETA x50";5171,42;50
230;23/10/2025;1;779819415010;"779819415010 - GLOBO GLOBOX PERLADO 12"" ROSA x50";5171,42;50
231;01/01/2025;0;779819415011;"779819415011 - GLOBO GLOBOX PERLADO 12"" ROJO x50";5171,42;50
232;01/01/2025;0;779842097178;"779842097178 - GLOBO GLOBOX PERLADO 12"" PLATINUM x50 71781";5171,42;50
233;01/01/2025;0;779819415009;"779819415009 - GLOBO GLOBOX PERLADO 12"" PLATEADO x50";5171,42;50
234;01/01/2025;0;779819415018;"779819415018 - GLOBO GLOBOX PERLADO 12"" NEGRO x50";5171,42;50
235;01/01/2025;0;779819415008;"779819415008 - GLOBO GLOBOX PERLADO 12"" NARANJA x50";5171,42;50
236;01/01/2025;0;779819415030;"779819415030 - GLOBO GLOBOX PERLADO 12"" MULTICOLOR x50";5171,42;50
237;23/10/2025;1;779819415007;"779819415007 - GLOBO GLOBOX PERLADO 12"" LILA CLARO x50";5171,42;50
238;01/01/2025;0;779819415006;"779819415006 - GLOBO GLOBOX PERLADO 12"" FUCSIA x50";5171,42;50
239;01/01/2025;0;779819415005;"779819415005 - GLOBO GLOBOX PERLADO 12"" DORADO x50";5171,42;50
240;01/01/2025;0;779842097181;"779842097181 - GLOBO GLOBOX PERLADO 12"" CREAM x50  71811";5171,42;50
241;01/01/2025;0;779819415002;"779819415002 - GLOBO GLOBOX PERLADO 12"" CELESTE x50";5171,42;50
242;01/01/2025;0;779819415021;"779819415021 - GLOBO GLOBOX PERLADO 12"" AZUL OSCURO x50";5171,42;50
243;01/01/2025;0;779819415004;"779819415004 - GLOBO GLOBOX PERLADO 12"" AZUL FRANCIA x50";5171,42;50
244;01/01/2025;0;779819415003;"779819415003 - GLOBO GLOBOX PERLADO 12"" AMARILLO x50";5171,42;50
245;01/01/2025;0;779819415022;"779819415022 - GLOBO GLOBOX PERLADO 12"" AGUA MARINA x50";5171,42;50
246;01/01/2025;0;779819415686;"779819415686 - GLOBO GLOBOX PASTEL 12"" ROSA  x50 56865";4895,3;50
247;01/01/2025;0;779819415682;"779819415682 - GLOBO GLOBOX PASTEL 12"" MULTICOLOR x50 56827";4895,3;50
248;01/01/2025;0;779819415033;"779819415033 - GLOBO GLOBOX LISO 12"" VIOLETA x50 50337";4650,54;50
249;01/01/2025;0;609819417400;"609819417400 - GLOBO GLOBOX LISO 12"" VERDE OLIVA x50 74007";4650,54;50
250;01/01/2025;0;779819415037;"779819415037 - GLOBO GLOBOX LISO 12"" VERDE MANZANA x50 50375";4650,54;50
251;01/01/2025;0;779819415041;"779819415041 - GLOBO GLOBOX LISO 12"" NEGRO x50  50412";4650,54;50
252;01/01/2025;0;779819415045;"779819415045 - GLOBO GLOBOX LISO 12"" FUCSIA x50 50450";4650,54;50
253;01/01/2025;0;779819415031;"779819415031 - GLOBO GLOBOX LISO 12"" BLANCO x50 50313";4650,54;50
254;01/01/2025;0;779819415040;"779819415040 - GLOBO GLOBOX LISO 12"" AZUL FRANCIA  x50 50405";4650,54;50
255;01/01/2025;0;779819415038;"779819415038 - GLOBO GLOBOX LISO 12"" AMARILLO x50 50382";4650,54;50
256;01/01/2025;0;779819415366;779819415366 - GLOBO GLOBOX GLOBOLOGIA MULTICOLOR T260 x50 53666;5291,22;50
257;23/10/2025;1;779819415688;"779819415688 - GLOBO DILAX METALIZADO 32"" PLATEADO Nº 8 x5 (APTO HELIO) 56889";4562,29;5
258;23/10/2025;1;779819415649;"779819415649 - GLOBO DILAX METALIZADO 32"" PLATEADO Nº 5 x5 (APTO HELIO) 56490";4562,29;5
259;01/01/2025;0;779819415569;"779819415569 - GLOBO DILAX METALIZADO 32"" PLATEADO Nº 0 x5 (APTO HELIO) 55691";4562,29;5
260;01/01/2025;0;000001100322;000001100322 - GARFIO DE PIRATA STASIOx1 HG0003;1674,68;1
261;01/01/2025;0;000000002609;000000002609 - GALERA PATRIA NIÑO CINTA ARGENTINA x12 (LP07);4340,47;12
262;01/01/2025;0;000030404403;000030404403 - GALERA PATRIA GRANDE CINTA ARGENTINAx12 (LP01);5477,48;12
263;23/10/2025;1;000000053639;000000053639 - GALERA MULTICOLOR CON FLOR ROX x1 art.334;3105;1
264;23/10/2025;1;000000027892;000000027892 - GALERA MOÑO FLUO LISA JL x1 449;4846,5;1
265;23/10/2025;1;000000057551;000000057551 - GALERA MEDIANA CON FLOR MULTICOLOR x1 336;3510;1
266;01/01/2025;0;692924192608;692924192608 - GALERA CON BRILLO VARIOS COLORES x10 YW19-260;7988,54;10
267;01/01/2025;0;720155717449;720155717449 - GALERA ARLEQUIN ARGENTINA 6 CASCABELES IMPORTADA x1 MZ17449;3297,27;1
268;01/01/2025;0;000000038218;000000038218 - GALERA ACETATO CON MOÑO BOCA JLx1 450;4846,5;1
269;01/01/2025;0;000003000367;000003000367 - FAROL CON VELA x1 HF0001;1873,83;1
270;01/01/2025;0;000000040806;000000040806 - FALSA TORTA TELGOPOR REDONDA 20 CM.ALTURA 10 x2;4266;2
271;01/01/2025;0;000000040857;000000040857 - FALSA TORTA TELGOPOR REDONDA 15cm ALTURA 10 x2;2733,75;2
272;01/01/2025;0;779905100644;779905100644 - ESTAMPA COMUNION CALIZ CON ESPIGA x10 u.GM 9152;337,16;1
273;01/01/2025;0;000000007364;000000007364 - ESQUELETO MEDIANO STASIO 19cm  x2 7364;1014,2;2
274;01/01/2025;0;772098811070;772098811070 - ESPOSAS CON CADENA METAL POLICIA x1 LB070;1504,51;1
275;01/01/2025;0;000000029933;000000029933 - ESPADA ZORRO CON ANTIFAZ x1 art.410;1105,65;1
276;23/10/2025;2;779061601861;779061601861 - DULCE DE LECHE VACALIN REPOSTERO x400gr;1776,25;1
277;23/10/2025;2;779817110008;779817110008 - DULCE DE LECHE MILKEY REPOSTERO  x400gr;1434,55;1
278;23/10/2025;1;779828888054;779828888054 - DROPS PASTELAR PERLAS MEDIANAS BLANCAS 4x35grs;5512;4
279;01/01/2025;0;000000055728;000000055728 - DISFRAZ VENDEDOR AMBULANTE FISELINA CROSTIx1 T2;6345;1
280;01/01/2025;0;000000055822;000000055822 - DISFRAZ RATONA MINNIE ROSA O.N x1u. T2 (5-6años);11151;1
281;01/01/2025;0;000000027246;000000027246 - DISFRAZ PERSONAJE SUPERMAN T0x1 CR (0-3años);12825;1
282;01/01/2025;0;000000049791;000000049791 - DISFRAZ PERSONAJE MUJER ARAÑA T1 x1 CR (3-5años);11070;1
283;01/01/2025;0;000000027247;000000027247 - DISFRAZ PERSONAJE BATMAN T0x1 CR (0-3años);12825;1
284;01/01/2025;0;000000037130;000000037130 - DISFRAZ PAYASO NIÑO CROSTI T4x1 (9a11años);11677,5;1
285;23/10/2025;1;000000058057;000000058057 - DISFRAZ NIÑA PIRATA TUTU CROSTI x1 T3 art.253;13095;1
286;01/01/2025;0;779814781046;779814781046 - DISFRAZ NEGRITO CANDELAx1 T1;9695,7;1
287;01/01/2025;0;779814781048;779814781048 - DISFRAZ NEGRITA CANDELAx1 T1;11253,94;1
288;01/01/2025;0;000000049959;000000049959 - DISFRAZ MERLINA FIESTA  O.N x1u. T1;12474;1
289;23/10/2025;1;779837770207;779837770207 - DISFRAZ HALLOWEEN VESTIDO GOTICO(MORTICIA) NEW TOYS T1 x1 1448;13322,54;1
290;01/01/2025;0;779814781056;779814781056 - DISFRAZ HALLOWEEN FANTASMA NIÑO CANDELA T1 x1;11340,51;1
291;01/01/2025;0;000000021069;000000021069 - DISFRAZ HALLOWEEN ESQUELETO  CROSTI T2x1 art.57;12960;1
292;01/01/2025;0;000000014571;000000014571 - DISFRAZ COYA NENA ESPECIAL CROSTI T1;10530;1
293;01/01/2025;0;779814781332;779814781332 - DISFRAZ BOMBERO ROJO NIÑO CANDELA T2 x1 (4-6años);13418,16;1
294;23/10/2025;6;000000007352;000000007352 - DIENTES DRACULA MULTICOLOR FLUO STASIO x12u. 7352;680;12
295;01/01/2025;0;000000007350;000000007350 - DIENTE DRACULA BLANCO STASIO x12u. 7350;680;12
296;01/01/2025;0;000000034026;000000034026 - CUCHILLO BLANCO REFORZADO x100 FF204B;1721,88;100
297;23/10/2025;2;779809870502;779809870502 - CUCHARA SUNDAE FRACCIONADA KV x50;556,44;50
298;01/01/2025;0;000000034024;000000034024 - CUCHARA POSTRE REFORZADA x100 206B;2466,39;100
299;01/01/2025;0;000000038951;000000038951 - CUCHARA  MINI DEGUSTACION CRISTAL x50unid;2386,8;50
300;01/01/2025;0;000000038336;000000038336 - CUCARACHAS PATRIMAR x12;780,93;12
301;01/01/2025;0;779819415055;779819415055 - CORTINA OVNI HOLOGRAFICA PLATEADA ( 2.00 x1.00 mts )  x1 50559;1665,47;1
302;23/10/2025;1;237187602005;237187602005 - CORSET PLASTICO LOLAS x4 2005;9612,43;4
303;01/01/2025;0;000000039139;000000039139 - CORONA REY DAVID  x1 RM;6240;1
304;01/01/2025;0;803410700374;803410700374 - CORONA DE ROSAS Y FLECOS BLANCA CON LUZ  x10 YJ0500/ZLE-CV-01-02BL;7828,65;1
305;01/01/2025;0;000000041550;000000041550 - CORONA COMPARSA RUBI ECONOMICA x1 RM;5850;1
306;01/01/2025;0;000000007007;000000007007 - CORNETIN STASIO MEDIANO x12u. 7007;817,33;12
307;01/01/2025;0;237187606004;237187606004 - CORBATIN PAYASO PLASTICOx6 6004;2235,11;6
308;01/01/2025;0;000000000295;000000000295 - COPITA COMUNION DORADAx36;1652,4;36
309;01/01/2025;0;779809870238;779809870238 - COPA SUNDAE CORTA (BULTO x100) 4050/1;8721,25;100
310;01/01/2025;0;000000005269;000000005269 - COPA NANCY CHAMPAGNE PIE NEGRO 032 (BULTO x100u.);19456,56;100
311;23/10/2025;1;779552200137;779552200137 - CONFITE LENTEJA FRUTAL MINI PALMESANO x1KG (4500);3299,06;10
312;01/01/2025;0;000000033976;000000033976 - COMPOTERA CRISTAL x50 AMERICAN PLAST;4837,17;50
313;23/10/2025;1;000007799864;000007799864 - COLORANTE EN POLVO LIPOSOLUBLE FLEIBOR VIOLETA  x4;5793,84;4
314;01/01/2025;0;000000017187;000000017187 - COLORANTE EN PASTA FLEIBOR VIOLETA x4;4839,12;4
315;01/01/2025;0;779908800373;779908800373 - COLLAR METALIZADO PLATEADO CON SILBATO x12 AC176  PS;10932,6;12
316;23/10/2025;1;694500000901;694500000901 - COLLAR HAWAIANO TELA COLOR (COLORES SURTIDOS) X 12 MM09-01;7219,78;12
317;01/01/2025;0;000000002286;000000002286 - COLLAR HAWAIANO COLORES SURTIDOS BOLSONx200u.;12964;200
318;01/01/2025;0;699978810748;699978810748 - COLGANTE LUMINOSO ESTRELLA  x36   748;19606,41;36
319;23/10/2025;1;779813337102;779813337102 - COLA CON TANGA  x3u;11375,44;3
320;23/10/2025;1;000000039326;000000039326 - COCO RALLADO ESPECIAL BLANCO  xKG;8977,5;10
321;23/10/2025;1;779286000045;779286000045 - CHUPETIN PELOTITA LHERITIER x50u 45;1536,77;1
322;23/10/2025;2;779789700284;779789700284 - CHOCOLATE MOLDATTE SEMIAMARGO x500gr 050-90273;4689,07;5
323;23/10/2025;2;779789700286;779789700286 - CHOCOLATE MOLDATTE LECHE x500gr 050-90673;4082,25;5
324;23/10/2025;1;779789700285;779789700285 - CHOCOLATE MOLDATTE BLANCO x500gr 050-90473;3668,51;5
325;01/01/2025;0;237187601061;237187601061 - CASCO CONSTRUCTORx6 1061;2095,63;6
326;01/01/2025;0;237185603233;237185603233 - CARETA PLASTICA VENDETTA / ANONIMOUS x6 3233;2564,78;6
327;01/01/2025;0;237187603280;237187603280 - CARETA PLASTICA TIGREx6 3280;2557,98;6
328;01/01/2025;0;237187603325;237187603325 - CARETA PLASTICA SCREAMx6 3325;2564,78;6
329;01/01/2025;0;237187603275;237187603275 - CARETA PLASTICA PERROx6 3275;2557,98;6
330;01/01/2025;0;237187603538;237187603538 - CARETA PLASTICA MIMOx6 2221/3538;2557,98;6
331;23/10/2025;1;237187603336;237187603336 - CARETA PLASTICA MARTES 13x6 3336;2533,03;6
332;01/01/2025;0;237185603287;237185603287 - CARETA PLASTICA HOMBRE ARAÑA x6 3287;2979,83;6
333;01/01/2025;0;237187603022;237187603022 - ;;
334;23/10/2025;1;237187603333;237187603333 - CARETA PLASTICA FRANKESTEINx6 3333;2564,78;6
335;01/01/2025;0;237187603370;237187603370 - CARETA PLASTICA ESPECTRO FLUO x6 3370;3083,02;6
336;01/01/2025;0;237187603322;237187603322 - CARETA PLASTICA DRACULAx6 3322;3083,02;6
337;01/01/2025;0;237187603366;237187603366 - CARETA PLASTICA DIABLO / DEMONIO x6 3366;3083,02;6
338;01/01/2025;0;237185603281;237185603281 - CARETA PLASTICA CHUCKY x6 3281;2707,18;6
339;01/01/2025;0;237187603312;237187603312 - CARETA PLASTICA CHANCHITOx6 3312;2557,98;6
340;01/01/2025;0;237187603321;237187603321 - CARETA PLASTICA CALAVERA CON SANGRE x6  3321;2564,78;6
341;01/01/2025;0;237187603245;237187603245 - CARETA PLASTICA BRUJA x6 3245;3083,02;6
342;01/01/2025;0;000000054229;000000054229 - CARETA PERSONAJE GATUBELA RIGIDA x1;2767,5;1
343;01/01/2025;0;000000047828;000000047828 - CARETA PERSONAJE ESQUELETO RIGIDA x1;2767,5;1
344;01/01/2025;0;000000039386;000000039386 - CARETA PERSONAJE BATMAN RIGIDA x1;2767,5;1
345;01/01/2025;0;237187613336;237187613336 - CARETA CON TELA PLASTICA MARTES 13 x3 3336T;3201,69;3
346;01/01/2025;0;237187613321;237187613321 - CARETA CON TELA PLASTICA CALAVERA x3 3321T;3201,69;3
347;23/10/2025;8;779302400635;779302400635 - CARAMELO MASTICABLE OSI-OSI x300gr 100635;1899,5;1
348;23/10/2025;1;779818603182;779818603182 - CARAMELO MASTICABLE FRUTAL DROPSY x 700grs. 78992;3448,6;1
349;01/01/2025;0;000003000334;000003000334 - CARAMELERA CALAVERA BLANCA STASIO x1 HC0008-B;1181,52;1
350;23/10/2025;1;000000058151;000000058151 - CARAMELERA CALABAZA NEGRA RADHA (PACK x20u.);14850;20
351;23/10/2025;2;000000046333;000000046333 - CARAMELERA CALABAZA NARANJA ECONOMICA (PACKx10u.);6789,15;10
352;01/01/2025;0;000000020822;000000020822 - CAPA NIÑO DIABLO CROSTI x1 art.37;3307,5;1
353;23/10/2025;4;779814781610;779814781610 - CAPA NIÑO CON CAPUCHA TELA NEGRA CHICA HALLOWEEN x1 CANDELA;3809,03;1
354;23/10/2025;4;000000046649;000000046649 - CAPA DRACULA NIÑO HALLOWEEN  x1 ECHYZOS;3920,88;1
355;23/10/2025;8;779814781081;779814781081 - CAPA DE NIÑO TELA NEGRA CHICA HALLOWEEN x1 CANDELA;3029,91;1
356;01/01/2025;0;000000046589;000000046589 - CAPA ADULTO NEGRA SIN CUELLO  CROSTI x1 art.48;3780;1
357;01/01/2025;0;779814781787;779814781787 - CAPA ADULTO CON CAPUCHA TELA NEGRA ART.6820 x1 CANDELA;4934,42;1
358;01/01/2025;0;000000031659;000000031659 - CAPA ADULTO CON CAPUCHA ROJA  x1 CROSTI art.39;4050;1
359;23/10/2025;2;779832235772;779832235772 - CAÑON CARIOCA MULTICOLOR PS R.R 40cm x1 LPI40M;1468,72;1
360;23/10/2025;2;779908800302;779908800302 - CAÑON CARIOCA CORAZONES PARTY S R.R 40cm x1 LPI40C (Nº2);1593,51;1
361;01/01/2025;0;779819415766;779819415766 - BOMBITA DE AGUA BOMBUCHA(CAJAx24x100) 57664;25371;24
362;01/01/2025;0;000000029693;000000029693 - BOLSON MOÑOS FLUO SURTIDO x5;3982,5;5
363;01/01/2025;0;000000035278;000000035278 - BOLSON GORRO PIRATA NEGRO x5;5530;5
364;01/01/2025;0;000000034657;000000034657 - BOLSON CORBATA IMPRESO FLUO LUNARES x5;6885;5
365;01/01/2025;0;779804382011;779804382011 - BOLSA PARA HORNO Y FREEZER 30x45cm x10;894,88;1
366;01/01/2025;0;779527715534;779527715534 - BOLSA PARA FREEZERx50u. (30x40);945,2;1
367;01/01/2025;0;000000023038;000000023038 - BOLSA MARACA FLUO x50;10084,4;50
368;01/01/2025;0;000000045305;000000045305 - BLISTER VELA NUMERO LUMINOSA CON BORDE BLANCO X1 Nº2 LUCA PLASTIC;2065,5;1
369;23/10/2025;1;779908802165;779908802165 - BLISTER VELA LARGA IMPRESA LUNARES RAYAS ROSA 15 cm x10  VLIRS P.S;1486,45;10
370;01/01/2025;0;779908802167;779908802167 - BLISTER VELA LARGA IMPRESA LUNARES RAYAS CELESTE 15 cm x 10 VLICE P.S;1486,45;10
371;01/01/2025;0;779814797577;779814797577 - BLISTER VELA FINITA ROSA/FUCSIA/BLANCO 17 cm x24 VTSG P.S;839,13;24
372;23/10/2025;1;779814797578;779814797578 - BLISTER VELA FINITA AZUL/CELESTE/BLANCO 17 cm x24 VTSB P.S;839,13;24
373;01/01/2025;0;779809185912;779809185912 - BLISTER ESCARAPELA REDONDAx24 Nº3 (ESCA.02);3361,5;24
374;01/01/2025;0;773199811275;773199811275 - BLISTER CUCHILLO RETRACTIL  x12 AK275;5398,16;12
375;01/01/2025;0;520155991553;520155991553 - BIGOTES EN BLISTER  x6 F553 ( 6 MODELOS SURTIDOS );606,31;6
376;01/01/2025;0;000005000400;000005000400 - BASTON HALLOWEEN CALAVERA CHICA STASIO x1 HC0004;1620,97;1
377;01/01/2025;0;000001200320;000001200320 - BASTON DE POLICIA GRANDE STASIO x1 HB0007;1380;1
378;01/01/2025;0;000000024243;000000024243 - BASTON CABALLERO/CURVO NEGRO CHAPLIN STASIO x10u. HB0005;10955,93;10
379;01/01/2025;0;000000000320;000000000320 - BASTON CABALLERO CON EMPUÑADURA DORADA STASIO x1 HB0004;939,44;1
380;01/01/2025;0;000000001714;000000001714 - BASE TELGOPOR REDONDA 40cm x10;9474,5;10
381;01/01/2025;0;000000001713;000000001713 - BASE TELGOPOR REDONDA 35cm.x10;7051,41;10
382;01/01/2025;0;000000003064;000000003064 - BASE TELGOPOR REDONDA 30cm x10;6584,08;10
383;01/01/2025;0;000000003065;000000003065 - BASE TELGOPOR REDONDA 25cm x10;4083,92;10
384;01/01/2025;0;000000001711;000000001711 - BASE TELGOPOR RECTANGULAR MEDIANA 35x45x10;6522,66;10
385;23/10/2025;1;000000053492;000000053492 - BASE REDONDA FIBROFACIL 30cm BLANCO x4u. RF;4638,6;4
386;23/10/2025;1;000000057322;000000057322 - BASE REDONDA FIBROFACIL 27cm BLANCO x4u. REC;3936,6;4
387;01/01/2025;0;779814797326;779814797326 - BARBA BLANCA  x1 BABL  PS;1246,7;1
388;01/01/2025;0;779812603043;779812603043 - BANDERIN PLASTICO FLOR CALADA MEXICANO x1 IMAGEN;1274,4;1
389;01/01/2025;0;779842097086;779842097086 - BANDERIN PARTY TIME FELIZ CUMPLEAÑOS JASPEADO  DORADO  x12 70869;10136,57;12
390;23/10/2025;1;000000047638;000000047638 - BANDERIN PALABRA FELIZ CUMPLEAÑOS HOLOGRAFICO PLATEADO CHICO x3;2075,17;3
391;23/10/2025;1;000000047639;000000047639 - BANDERIN PALABRA FELIZ CUMPLEAÑOS HOLOGRAFICO DORADO CHICO x3;2075,17;3
392;23/10/2025;2;000000039444;000000039444 - BANDERIN PALABRA FELIZ CUMPLE RIVER HOLOGRAFICO  x1 61R;710,44;1
393;23/10/2025;2;000000039443;000000039443 - BANDERIN PALABRA FELIZ CUMPLE BOCA HOLOGRAFICO x1 61B;710,44;1
394;01/01/2025;0;779905100742;779905100742 - BANDERIN LETRAS KRAFT FELIZ CUMPLEAÑOS x1 3348/90GM;1481,29;1
395;01/01/2025;0;779831635137;779831635137 - BANDERIN FISELINA MULTICOLOR x1 058 CREACIONES TRIES;2085,89;1
396;01/01/2025;0;692024231012;692024231012 - BANDERIN FELIZ CUMPLEAÑOS FLUO TRIANGULAR x1 CL887;910;1
397;23/10/2025;2;779905100571;779905100571 - BANDERIN CON STAMPING MIS 18 AÑOS NEGRO x1 GM 3348-59;1175,51;1
398;23/10/2025;2;779905100996;779905100996 - BANDERIN CON STAMPING FELIZ CUMPLEAÑOS ROSA PASTELx1 3360-1 GM;779,63;1
399;01/01/2025;0;779905100651;779905100651 - BANDERIN CON STAMPING FELIZ CUMPLE GIGANTE NEGRO x1 3348/82GM;1429,65;1
400;01/01/2025;0;779905100574;779905100574 - BANDERIN CON STAMPING BIENVENIDO CELESTE x1 3348/61/2 GM;1175,51;1
401;01/01/2025;0;779812603072;779812603072 - BANDERA PLASTICA ARGENTINA CHICA CON PALITO (15x25cm) x25u.;1932;25
402;01/01/2025;0;779805209037;779805209037 - BANDERA ARGENTINA TELA CON SOL 60x96cm MILENIO x1;7250,04;1
403;01/01/2025;0;000000033930;"000000033930 - BANDEJA PLASTICA Nº 105 L OVALADA x100 B.P STANDAR ""VER""";6075,53;100
404;01/01/2025;0;000000033927;"000000033927 - BANDEJA PLASTICA Nº 102 L RECTANGULAR  x100 B.P STANDAR ""VER""";3317,6;100
405;01/01/2025;0;779836371006;779836371006 - BANDEJA GIRATORIA PLASTICA BORDE PUNTILLA GIRAPARPEN  x1 GP+;25660,69;1
406;01/01/2025;0;789117519852;789117519852 - BANDEJA CARTON REDONDA DORADA PREMIUM REFORZADA Nº8 (39cm) x10u.;14782,09;10
407;01/01/2025;0;789117519850;789117519850 - BANDEJA CARTON REDONDA DORADA PREMIUM REFORZADA Nº7 (36cm) x10u.;12585,9;10
408;01/01/2025;0;000000052534;000000052534 - BANDEJA CARTON REDONDA DORADA 28cm BULTO x50u. RAF 7042;12872,07;50
409;01/01/2025;0;000000052527;000000052527 - BANDEJA CARTON RECTANGULAR DORADA Nº5 (28x30cm) BULTO x50u. RAF 6155/6205;13118,35;50
410;01/01/2025;0;000000045991;000000045991 - BANDEJA CARTON RECTANGULAR DORADA Nº4 1kg (23X28cm) x10u. RAF 6154/6204;2129,67;10
411;01/01/2025;0;000000045988;000000045988 - BANDEJA CARTON RECTANGULAR DORADA Nº3 1/2kg (18X26cm) x10u. RAF 6203;1699,39;10
412;01/01/2025;0;779818603537;779818603537 - BALDE CARAMELERA HALLOWEEN TERROR x300gr 378559;5457,59;1
413;23/10/2025;2;779127001372;779127001372 - AZUCAR IMPALPABLE KEUKEN LODISER x 500gr.AZIA;991,25;1
414;01/01/2025;0;779908800010;779908800010 - AUREOLA DE ANGEL NEGRA DELUXE x1 AC173 PS;1198,75;1
415;01/01/2025;0;797398831036;797398831036 - AUREOLA DE ANGEL BLANCA DELUXE x1 AE036;1243,81;1
416;01/01/2025;0;000000004325;000000004325 - ASUSTA SUEGRA METALIZADA x12 (61);1232;12
417;01/01/2025;0;000000007038;000000007038 - ARCOS CON RED STASIO x12u. 7038;2352,75;1
418;01/01/2025;0;000000014603;000000014603 - ARAÑAS COLOR PATRIMAR x24;1042,34;24
419;01/01/2025;0;000000014914;000000014914 - ARAÑAS CHICAS NEGRAS PATRIMAR x24;1042,34;24
420;01/01/2025;0;000000020453;000000020453 - ANTIFAZ DE ZORRO x3 ECHYZOS;1970,64;3
421;01/01/2025;0;779814797770;779814797770 - ANTIFAZ DE ENCAJE VENECIANO NEGRO  x1 AT03  PS;1333,01;1
422;01/01/2025;0;779814797771;779814797771 - ANTIFAZ DE ENCAJE MARIPOSA NEGRA x1 AT04  PS;1333,01;1
423;01/01/2025;0;779908803652;779908803652 - ANTEOJO RAYBAN BICOLOR VIOLETA x1 LE17VI  PS;1126,83;1
424;01/01/2025;0;690202407133;690202407133 - ANTEOJO OJOS SALTONES x1 DIS02-13;1431,86;1
425;01/01/2025;0;779812557318;779812557318 - ANTEOJO GIGANTE COLORES x1;1239,72;1
426;01/01/2025;0;541497890286;541497890286 - ANTEOJO CON LUZ REJILLA COLOR x12 PA0286;12012,45;12
427;23/10/2025;1;803410700230;803410700230 - ALAS ANGEL CON PLUMAS NEGRAS x1 YJ0346/YJ0347;3402;1
428;01/01/2025;0;000000047538;000000047538 - ALAMBRE FORRADO BLANCO N°24 x 5mts X3 ROLLOS;6304,5;3
429;01/01/2025;0;000000009135;000000009135 - ALAMBRE DE ALUMINIO PLATEADO 1.00mm x6;1950,35;6
430;01/01/2025;0;000000009136;000000009136 - ALAMBRE DE ALUMINIO DORADO 1.00mm x6;1950,35;6
431;01/01/2025;0;779905100606;779905100606 - AFICHE COMUNION CALIZ CON ESPIGA x1 GM 9155;1017,56;1
432;23/10/2025;1;694198471507;694198471507 - ADORNO CORONA CHICA CON STRASS DORADA x1 GY-1507;2890,76;1
433;23/10/2025;1;694198471507;694198471507 - ADORNO CORONA CHICA CON STRASS PLATEADA x1 GY-1507;2890,76;1
